unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
"[0148-2963, 1873-7978]",Journal of Business Research,[35],Journal of Business Research,Marketing,Journal of Business Research,J BUS RES,[BUSINESS],Journal of Business Research,[1400]
"[1738-3110, 2093-7717]",,,,,Journal of Distribution Science,J DISTRIB SCI,"[MANAGEMENT, BUSINESS]",Journal of Distribution Science,"[2000, 1400]"
"[0144-3585, 1758-7387]",Journal of Economic Studies,"[3801, 3802, 3803]",,,JOURNAL OF ECONOMIC STUDIES,J ECON STUD,[ECONOMICS],Journal of Economic Studies,[2000]
"[0971-3557, 0973-0745]",The Journal of Entrepreneurship,"[3505, 3507]",,,Journal of Entrepreneurship,J ENTREP,[BUSINESS],Journal of Entrepreneurship,"[2000, 1400]"
"[1059-8596, 2168-8648]",The Journal of Fixed Income,"[3501, 3502]",Journal of Fixed Income,F&A,,,,Journal of Fixed Income,[2000]
[2377-2999],,,,,Journal of Global Economic Analysis,J GLOB ECON ANAL,[ECONOMICS],Journal of Global Economic Analysis,[2000]
"[1229-7119, 2163-9159, 2163-9167]",Journal of Global Scholars of Marketing Science: Bridging Asia and the World,"[3506, 3507]",,,Journal of Global Scholars of Marketing Science,J GLOB SCHOLARS MARK,[BUSINESS],Journal of Global Scholars of Marketing Science: Bridging Asia and the World,[1400]
"[0883-7570, 1539-0934, 1539-0942]",Journal of Hospital Marketing and Public Relations,[3506],,,,,,Journal of Hospital Marketing,[1400]
"[1472-9296, 0022-1856]",,,Journal of Industrial Relations,"OS/OB,HRM/IR",,,,Journal of Industrial Relations,[1400]
"[0888-7985, 1558-7959]",,,Journal of Information Systems,F&A,JOURNAL OF INFORMATION SYSTEMS,J INF SYST,"['BUSINESS, FINANCE']",Journal of Information Systems,[1400]
[1525-2019],Journal of Interactive Advertising,[3506],,,,,,Journal of Interactive Advertising,[1400]
"[1542-6297, 1558-8025]",Journal of International Accounting Research,[3501],Journal of International Accounting Research,F&A,Journal of International Accounting Research,J INT ACCOUNT RES,"['BUSINESS, FINANCE']",Journal of International Accounting Research,[1400]
"[2380-5005, 2380-5013]",,,,,Journal of Law Finance and Accounting,J LAW FINANC ACCOUNT,"['BUSINESS, FINANCE']","Journal of Law, Finance, and Accounting","[2000, 1400]"
"[0022-2879, 1538-4616]","Journal of Money, Credit and Banking","[3502, 3801, 3803]","Journal of Money, Credit and Banking",F&A,JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,"[ECONOMICS, 'BUSINESS, FINANCE']","Journal of Money, Credit and Banking","[2000, 1400]"
"[0160-8061, 1540-8604]",,,Journal of Organizational Behavior Management,"OS/OB,HRM/IR",JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,J ORGAN BEHAV MANAGE,[MANAGEMENT],Journal of Organizational Behavior Management,[1400]
[2691-1361],,,,,Journal of Philanthropy and Marketing,J PHILANTHROPY MARK,[BUSINESS],Journal of Philanthropy and Marketing,"[2000, 1400]"
"[0895-5638, 1573-045X]",Journal of Real Estate Finance and Economics,"[3502, 3801]",Journal of Real Estate Finance and Economics,F&A,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,J REAL ESTATE FINANC,"[ECONOMICS, 'BUSINESS, FINANCE']",Journal of Real Estate Finance and Economics,"[2000, 1400]"
"[0922-680X, 1573-0468]",Journal of Regulatory Economics,[3801],Journal of Regulatory Economics,Economics,JOURNAL OF REGULATORY ECONOMICS,J REGUL ECON,[ECONOMICS],Journal of Regulatory Economics,[2000]
"[1465-1211, 1755-2842]",,,,,Journal of Risk,J RISK,"['BUSINESS, FINANCE']",Journal of Risk,"[2000, 1400]"
"[0198-9073, 1558-8017]",,,Journal of the American Taxation Association,F&A,Journal of the American Taxation Association,J AM TAX ASSOC,"['BUSINESS, FINANCE']",Journal of the American Taxation Association,"[2000, 1400]"
"[2378-1815, 2378-1823]",Journal of The Association For Consumer Research,[3506],,,Journal of the Association for Consumer Research,J ASSOC CONSUM RES,[BUSINESS],Journal of the Association for Consumer Research,"[2000, 1400]"
"[1868-7865, 1868-7873]",Journal of the Knowledge Economy,"[3801, 3803]",,,,,,Journal of the Knowledge Economy,[2000]
"[0269-0942, 1470-9325]",,,Local Economy,PSM,Local Economy,LOCAL ECON,[ECONOMICS],Local Economy,[2000]
"[1331-0194, 1846-3363]",,,,,Management-Journal of Contemporary Management Issues,MANAG-J CONTEMP MANA,[MANAGEMENT],Management (Croatia),[1400]
"[1740-8776, 1740-8784]",Management and Organization Review,"[3505, 3507]",Management and Organization Review,Gen & Strat,Management and Organization Review,MANAGE ORGAN REV,[MANAGEMENT],Management and Organization Review,[1400]
"[1536-5433, 1558-0946]",Management Research: the journal of the Iberoamerican Academy of Management,"[3505, 3507]",,,Management Research-The Journal of the Iberoamerican Academy of Management,MANAG RES,[MANAGEMENT],Management Research,[1400]
"[1463-6786, 1467-9957]",The Manchester School,"[3502, 3801]",Manchester School,Economics,MANCHESTER SCHOOL,MANCH SCH,[ECONOMICS],Manchester School,[2000]
"[1523-4614, 1526-5498]",,,Manufacturing and Service Operations Management,"OR,MS,POM",M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,[MANAGEMENT],Manufacturing and Service Operations Management,[1400]
"[0263-4503, 1758-8049, 1355-2538]",Marketing Intelligence and Planning,"[3506, 3507]",Marketing Intelligence and Planning,Marketing,Marketing Intelligence & Planning,MARK INTELL PLAN,[BUSINESS],Marketing Intelligence and Planning,[1400]
"[1368-3047, 1758-8057]",Measuring Business Excellence,[3507],,,Measuring Business Excellence,MEAS BUS EXCELL,[BUSINESS],Measuring Business Excellence,[1400]
[1096-1879],Multinational Finance Journal,[3502],,,,,,Multinational Finance Journal,[1400]
"[0027-9501, 1741-3036]",National Institute Economic Review,"[3801, 3802, 3803]",,,National Institute Economic Review,NATL INST ECON REV,[ECONOMICS],National Institute Economic Review,[2000]
"[1048-6682, 1542-7854]",,,Nonprofit Management and Leadership,PSM,Nonprofit Management & Leadership,NONPROFIT MANAG LEAD,[MANAGEMENT],Nonprofit Management and Leadership,[1400]
"[0898-5952, 1937-8327]",Performance Improvement Quarterly,[3507],,,,,,Performance Improvement Quarterly,[1400]
"[1060-586X, 1938-2855]",,,,,POST-SOVIET AFFAIRS,POST-SOV AFF,[ECONOMICS],Post-Soviet Affairs,[2000]
"[0363-8111, 1873-4537]",,,,,PUBLIC RELATIONS REVIEW,PUBLIC RELAT REV,[BUSINESS],Public Relations Review,[1400]
"[1380-6645, 1573-7144]",Review of Derivatives Research,[3502],Review of Derivatives Research,F&A,Review of Derivatives Research,REV DERIV RES,"[ECONOMICS, 'BUSINESS, FINANCE']",Review of Derivatives Research,[2000]
"[0034-6586, 1475-4991]",Review of Income and Wealth,"[3502, 3801]",Review of Income and Wealth,Economics,REVIEW OF INCOME AND WEALTH,REV INCOME WEALTH,[ECONOMICS],Review of Income and Wealth,[2000]
[0129-5977],Singapore Management Review,"[3505, 3506, 3507]",,,,,,Singapore Management Review,[1400]
"[0969-160X, 2156-2245]",Social and Environmental Accountability Journal,"[3501, 3507]",,,,,,Social and Environmental Accountability Journal,[1400]
"[1746-5680, 1746-5699]",Society and Business Review,"[3501, 3507]",,,Society and Business Review,SOC BUS REV,[BUSINESS],Society and Business Review,[1400]
"[1441-3523, 1839-2083]",Sport Management Review,"[3504, 3506, 3507]",Sport Management Review,Gen & Strat,Sport Management Review,SPORT MANAG REV,[MANAGEMENT],Sport Management Review,[1400]
"[1476-1270, 1741-315X]",Strategic Organization,"[3505, 3507]",Strategic Organization,Gen & Strat,Strategic Organization,STRATEG ORGAN,"[MANAGEMENT, BUSINESS]",Strategic Organization,[1400]
"[0040-1625, 1873-5509]",Technological Forecasting and Social Change,"[35, 38]",Technological Forecasting and Social Change,Innovation,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,[BUSINESS],Technological Forecasting and Social Change,[1400]
"[1096-4762, 1520-6874]",Thunderbird International Business Review,"[3501, 3505, 3507]",Thunderbird International Business Review,IB,Thunderbird International Business Review,THUNDERBIRD INT BUS,[BUSINESS],Thunderbird International Business Review,[1400]
[2673-5768],Tourism and Hospitality,"[3504, 3508]",,,,,,Tourism and Hospitality,"[2000, 1400]"
"[0965-8564, 1879-2375]",,,Transportation Research Part A: Policy and Practice,"OR,MS,POM",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,"[ECONOMICS, TRANSPORTATION]",Transportation Research Part A: Policy and Practice,[1400]
"[2212-9774, 2213-3968]",Wine Economics and Policy,"[3506, 3801]",,,,,,Wine Economics and Policy,[2000]
"[1746-0573, 1746-0581]","World Review of Entrepreneurship, Management and Sustainable Development","[3503, 3507]",,,,,,"World Review of Entrepreneurship, Management and Sustainable Development","[2000, 1400]"
"[0378-4266, 1872-6372]",,,Journal of Banking and Finance,F&A,JOURNAL OF BANKING & FINANCE,J BANK FINANC,"[ECONOMICS, 'BUSINESS, FINANCE']",Journal of Banking and Finance,[2000]
"[2405-8505, 2405-8513]",Journal of Commodity Markets,"[3502, 3801]",Journal of Commodity Markets,F&A,Journal of Commodity Markets,J COMMOD MARK,"[ECONOMICS, 'BUSINESS, FINANCE']",Journal of Commodity Markets,[2000]
[1876-9098],Erasmus Journal for Philosophy and Economics,[3803],,,,,,Erasmus Journal for Philosophy and Economics,[2000]
[2199-8531],"Journal of Open Innovation: Technology, Market, and Complexity",[3507],,,,,,"Journal of Open Innovation: Technology, Market, and Complexity",[2000]
"[0038-5263, 1540-496X, 1061-2009, 1558-0938]",Emerging Markets Finance and Trade,"[3501, 3502, 3801]",,,EMERGING MARKETS FINANCE AND TRADE,EMERG MARK FINANC TR,"[ECONOMICS, BUSINESS]",Emerging Markets Finance and Trade,[2000]
"[0378-7206, 1872-7530]",,,Information and Management,"MIS,KM",INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,[MANAGEMENT],Information and Management,[1400]
"[2524-4892, 1881-4387]",,,,,International Journal of Economic Policy Studies,INT J ECON POLICY ST,[ECONOMICS],International Journal of Economic Policy Studies,[2000]
"[1753-6219, 1753-6227]",International Journal of Business and Emerging Markets,"[3506, 3507]",,,,,,International Journal of Business and Emerging Markets,"[2000, 1400]"
"[2157-5665, 2194-6175]",Entrepreneurship Research Journal,[3507],,,Entrepreneurship Research Journal,ENTREP RES J,[BUSINESS],Entrepreneurship Research Journal,[1400]
"[1351-847X, 1466-4364]",The European Journal of Finance,"[3502, 3801]",European Journal of Finance,F&A,European Journal of Finance,EUR J FINANC,"['BUSINESS, FINANCE']",European Journal of Finance,[2000]
"[1617-982X, 1617-9838]",Portuguese Economic Journal,"[3801, 3802, 3803]",,,Portuguese Economic Journal,PORT ECON J,[ECONOMICS],Portuguese Economic Journal,[2000]
"[1359-8546, 1758-6852]",Supply Chain Management,"[3507, 3509]",Supply Chain Management,"OR,MS,POM",SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,SUPPLY CHAIN MANAG,"[MANAGEMENT, BUSINESS]",Supply Chain Management,[1400]
"[1436-6304, 0171-6468]",,,OR Spectrum,"OR,MS,POM",,,,OR Spectrum,[1400]
"[0026-1386, 1467-999X]",Metroeconomica: international review of economics,"[3801, 3802, 3803]",,,Metroeconomica,METROECONOMICA,[ECONOMICS],Metroeconomica,[2000]
"[1800-5845, 1800-6698]",Montenegrin Journal of Economics,"[3801, 3802, 3803]",,,Montenegrin Journal of Economics,MONTENEGRIN J ECON,[ECONOMICS],Montenegrin Journal of Economics,[2000]
[2573-0134],,,,,Quantitative Finance and Economics,QUANT FINANC ECON,"['BUSINESS, FINANCE']",Quantitative Finance and Economics,"[2000, 1400]"
"[2415-0436, 2518-2994]",,,,,,,,Advances in Technology Innovation,[1400]
"[1993-7601, 2410-6445]",,,,,,,,Applied Econometrics,[2000]
[2154-4611],,,,,,,,Asian Journal of Law and Economics,[2000]
"[1038-4162, 2200-6974]",,,,,,,,Australian Journal of Career Development,[1400]
"[2520-6761, 2520-6311]",,,,,,,,Business Ethics and Leadership,[1400]
"[0007-7135, 0739-8409]",,,,,,,,Business Week,"[2000, 1400]"
[2039-2362],,,,,,,,Capitale Culturale,[1400]
[2666-7843],,,,,,,,Cleaner and Responsible Consumption,[2000]
"[1619-697X, 1619-6988]",,,,,,,,Computational Management Science,[1400]
"[1773-9578, 2116-0090]",,,,,,,,Concurrences,[2000]
[1309-517X],,,,,,,,Contemporary Educational Technology,[1400]
"[1130-2682, 2660-6348]",,,,,,,,Cooperativismo e Economia Social,"[2000, 1400]"
"[2519-8971, 2519-898X]",,,,,,,,Corporate Governance and Sustainability Review,"[2000, 1400]"
"[1751-0694, 1751-0708]",,,,,,,,Creative Industries Journal,[1400]
"[1477-7282, 1758-6097]",,,,,,,,Development and Learning in Organizations,[1400]
[0717-3830],,,,,,,,Economia Chilena,"[2000, 1400]"
"[1753-7983, 1753-7991]",,,,,,,,"Education, Business and Society: Contemporary Middle Eastern Issues",[1400]
"[1386-1999, 1572-915X]",,,,,,,,Extremes,[2000]
[2573-8615],,,,,,,,Financial Planning Review,[2000]
[2571-9394],,,,,,,,Forecasting,[2000]
"[0773-0543, 2406-4734]",,,,,,,,Gestion 2000,[1400]
"[0974-9101, 0975-2730]",,,,,,,,Global Journal of Emerging Market Economies,"[2000, 1400]"
[1939-1633],,,,,,,,Graziadio Business Report,"[2000, 1400]"
"[2240-9971, 2280-188X]",,,,,,,,History of Economic Thought and Policy,[2000]
[1000-5013],,,,,,,,Huaqiao Daxue Xuebao/Journal of Huaqiao University,[1400]
[0019-8471],,,,,,,,Industrial Management,[1400]
"[1544-7529, 1544-7537]",,,,,,,,Information Technologies and International Development,[1400]
"[1741-8437, 1741-8445]",,,,,,,,"International Journal of Environment, Workplace and Employment",[1400]
"[1389-6563, 1573-6962]",,,,,,,,International Journal of Health Care Finance and Economics,[2000]
"[2324-7649, 2324-7657]",,,,,,,,International Journal of Interdisciplinary Organizational Studies,"[2000, 1400]"
[2195-2280],,,,,,,,International Journal of Marketing Semiotics and Discourse Studies,[1400]
"[0147-5479, 1471-6445]",,,,,,,,International Labor and Working-Class History,[1400]
[2146-4405],,,,,,,,International Review of Management and Marketing,[1400]
[2542-6605],,,,,,,,Internet of Things (The Netherlands),[1400]
[1135-2523],,,,,,,,Investigaciones Europeas de Direccion y Economia de la Empresa,"[2000, 1400]"
"[0035-6190, 2281-1559]",,,,,,,,Italian Review of Agricultural Economics,[2000]
[2520-1786],,,,,,,,IZA Journal of Development and Migration,"[2000, 1400]"
[2068-696X],,,,,,,,Journal of Advanced Research in Law and Economics,"[2000, 1400]"
[2380-9450],,,,,,,,Journal of Air Transportation,[1400]
[2771-6511],,,,,,,,Journal of Beta Investment Strategies,"[2000, 1400]"
[1296-2074],,,,,,,,Journal of Cultural Heritage,[2000]
"[2050-0076, 2050-0084]",,,,,,,,Journal of Digital and Social Media Marketing,[1400]
[2773-0670],,,,,,,,Journal of Digital Economy,"[2000, 1400]"
[1004-6062],,,,,,,,Journal of Industrial Engineering and Engineering Management,[1400]
"[1369-3034, 1464-3758]",,,,,,,,Journal of International Economic Law,[2000]
[2373-8456],,,,,,,,Journal of Ocean and Coastal Economics,[2000]
"[1357-1419, 1548-3606]",,,,,,,,Journal of Property Tax Assessment and Administration,"[2000, 1400]"
"[2765-2157, 2765-7272]",,,,,,,,Journal of Smart Tourism,[1400]
"[1328-7265, 1758-8847]",,,,,,,,Journal of Systems and Information Technology,[1400]
[1838-3815],,,,,,,,Journal of Teaching and Learning for Graduate Employability,[1400]
"[1553-3611, 1553-362X]",,,,,,,,Journal of Website Promotion,[1400]
"[0127-1962, 2716-6058]",,,,,,,,Jurnal Ekonomi Malaysia,[2000]
[0047-5394],,,,,,,,McKinsey Quarterly,"[2000, 1400]"
[1002-2848],,,,,,,,Modern Economic Science,[2000]
[2154-3348],,,,,,,,Nonprofit Policy Forum,[2000]
"[2081-8858, 2391-6060]",,,,,,,,Operations Research and Decisions,[1400]
[1470-9252],,,,,,,,Pipeline Report,[1400]
[0032-0838],,,,,,,,Plant Engineer,[1400]
[1088-9388],,,,,,,,Post-Soviet Geography and Economics,[2000]
[0274-8096],,,,,,,,Printed Circuit Fabrication,[1400]
[2412-0731],,,,,,,,R-Economy,[2000]
"[2166-4307, 2165-0659]",,,,,,,,"Region: Regional Studies of Russia, Eastern Europe, and Central Asia",[2000]
"[1415-6555, 1982-7849]",,,,,,,,Revista de Administracao Contemporanea,[1400]
"[1518-6776, 1678-6971]",,,,,,,,Revista de Administracao Mackenzie,[1400]
[2174-0747],,,,,,,,Revista de Artes Marciales Asiaticas,[1400]
[2318-2253],,,,,,,,Revista de Defesa da Concorrencia,[2000]
"[0260-1362, 1360-0605]",,,,,,,,School Organisation,[1400]
"[2405-8726, 2405-8718]",,,,,,,,She Ji,"[2000, 1400]"
"[0262-7280, 1741-3141]",,,,,,,,South Asia Research,[2000]
"[1802-7679, 2570-8783]",,,,,,,,Studia Sportiva,[1400]
[2651-088X],,,,,,,,Suranaree Journal of Social Science,[1400]
"[2538-5097, 2676-6159]",,,,,,,,Tasmimgiri va Tahqiq dar Amaliyyat,[1400]
"[0120-7555, 2346-206X]",,,,,,,,Turismo y Sociedad,[1400]
[0957-1787],,,,,,,,Utilities Policy,"[2000, 1400]"
"[1335-0617, 2585-8890]",,,,,,,,Vlakna a Textil,[1400]
"[1756-7130, 1756-7149]",International Journal of Financial Markets and Derivatives,"[3502, 3801]",,,,,,,
[1996-3300],Management Online Review,"[3505, 3507]",,,,,,,
[0070-3370],,,Demography,Economics,,,,,
[2185-5560],,,,,Asian Transport Studies,ASIAN TRANSP STUD,[TRANSPORTATION],,
"[1542-8710, 2378-8631]",Journal of the Academy of Business and Economics,"[35, 38]",,,,,,,
[0165-5515],,,Journal of Information Science,"MIS,KM",,,,,
[1541-1656],The Journal of Cost Analysis and Management,[3501],,,,,,,
[1742-2604],International Journal of Applied HRM,"[3505, 3507]",,,,,,,
"[1942-7867, 1942-7875]",,,,,Transportation Letters-The International Journal of Transportation Research,TRANSP LETT,[TRANSPORTATION],,
"[1533-7340, 1545-9535, 1943-443X]",Information Technology in Hospitality,"[3504, 3508]",,,,,,,
[0073-9103],Institute of Economic Affairs: Research Monographs,[3801],,,,,,,
[0025-5610],,,Mathematical Programming,"OR,MS,POM",,,,,
[2278-8425],International Journal on Global Business Management and Research,"[3502, 3507]",,,,,,,
"[1086-1653, 2169-3420]",The Independent Review: a journal of political economy,[3801],,,Independent Review,INDEP REV,[ECONOMICS],,
"[0180-7307, 2107-0865]",,,,,Revue d Economie Regionale et Urbaine,REV ECON REG URBAINE,[ECONOMICS],,
[0018-7259],,,Human Organization,"OS/OB,HRM/IR",,,,,
[1474-7871],Advances in Management Accounting,[3501],Advances in Management Accounting,F&A,,,,,
"[1675-3194, 2550-1631]",Asia-Pacific Management Accounting Journal,[3501],,,Asia-Pacific Management Accounting Journal,ASIA-PAC MANAG ACCOU,"['BUSINESS, FINANCE']",,
[2254-3376],,,,,3C Empresa,3C EMPRESA,[BUSINESS],,
[1984-3925],,,,,Contabilidade Gestao e Governanca,CONTAB GEST GOV,[MANAGEMENT],,
"[1992-1896, 2221-724X]",,,,,Contabilidad y Negocios,CONTAB NEG,"['BUSINESS, FINANCE']",,
"[0035-9629, 2543-9170]",,,,,Ruch Prawniczy Ekonomiczny i Socjologiczny,RUCH PRAW EKON SOCJ,[ECONOMICS],,
